2026-01-10 13:22:22.483 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 13:22:25.937 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 13:22:40.113 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 13:22:40.115 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 13:22:40.116 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 13:22:40.240 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 13:22:40.241 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 13:22:52.763 | ERROR    | app.api.endpoints:health_check:114 - Redis health check failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2026-01-10 13:22:56.892 | ERROR    | app.api.endpoints:health_check:114 - Redis health check failed: Error 10061 connecting to localhost:6379. No connection could be made because the target machine actively refused it.
2026-01-10 13:22:56.907 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 13:22:56.965 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: One or more mappers failed to initialize - can't proceed with initialization of other mappers. Triggering mapper: 'Mapper[User(users)]'. Original exception was: Could not determine join condition between parent/child tables on relationship User.jobs - there are no foreign keys linking these tables.  Ensure that referencing columns are associated with a ForeignKey or ForeignKeyConstraint, or specify a 'primaryjoin' expression.
2026-01-10 13:30:53.553 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 13:30:57.210 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 13:30:57.211 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 13:30:57.213 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 13:30:57.438 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 13:30:57.439 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 13:31:05.674 | INFO     | app.main:lifespan:43 - 👋 Shutting down...
2026-01-10 13:35:39.212 | INFO     | app.main:lifespan:24 - 🚀 Starting Video Reup AI Tool v2.0.0
2026-01-10 13:35:39.213 | INFO     | app.main:lifespan:25 - Environment: development
2026-01-10 13:35:39.214 | INFO     | app.main:lifespan:26 - Debug mode: True
2026-01-10 13:35:39.320 | INFO     | app.main:lifespan:31 - ✅ Database tables created
2026-01-10 13:35:39.321 | INFO     | app.main:lifespan:38 - ✅ Directories created
2026-01-10 13:35:46.134 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: 'PlatformDetector' object has no attribute 'get_platform_rules'
2026-01-10 13:35:46.163 | ERROR    | app.main:general_exception_handler:80 - Unhandled error: No module named 'psutil'
